Location_ID,Sensing_DateTime,Sensing_Date,Sensing_Time,Direction_1,Direction_2,Total_of_Directions
24,2026-06-02T19:41:00+05:30,2026-06-03,00:11,1,1,2
24,2026-06-02T19:49:00+05:30,2026-06-03,00:19,0,1,1
24,2026-06-02T19:52:00+05:30,2026-06-03,00:22,1,3,4
24,2026-06-02T19:54:00+05:30,2026-06-03,00:24,0,1,1
25,2026-06-02T19:50:00+05:30,2026-06-03,00:20,0,3,3
27,2026-06-02T19:40:00+05:30,2026-06-03,00:10,0,2,2
30,2026-06-02T19:40:00+05:30,2026-06-03,00:10,0,6,6
30,2026-06-02T19:41:00+05:30,2026-06-03,00:11,0,4,4
30,2026-06-02T19:45:00+05:30,2026-06-03,00:15,1,1,2
30,2026-06-02T19:54:00+05:30,2026-06-03,00:24,2,2,4
49,2026-06-02T19:42:00+05:30,2026-06-03,00:12,1,2,3
49,2026-06-02T19:44:00+05:30,2026-06-03,00:14,2,1,3
49,2026-06-02T19:45:00+05:30,2026-06-03,00:15,3,3,6
49,2026-06-02T19:50:00+05:30,2026-06-03,00:20,0,5,5
51,2026-06-02T19:49:00+05:30,2026-06-03,00:19,0,1,1
51,2026-06-02T19:54:00+05:30,2026-06-03,00:24,2,2,4
52,2026-06-02T19:46:00+05:30,2026-06-03,00:16,2,0,2
53,2026-06-02T19:46:00+05:30,2026-06-03,00:16,2,0,2
53,2026-06-02T19:52:00+05:30,2026-06-03,00:22,2,0,2
56,2026-06-02T19:40:00+05:30,2026-06-03,00:10,0,2,2
56,2026-06-02T19:43:00+05:30,2026-06-03,00:13,0,3,3
58,2026-06-02T19:47:00+05:30,2026-06-03,00:17,0,1,1
58,2026-06-02T19:54:00+05:30,2026-06-03,00:24,0,1,1
62,2026-06-02T19:41:00+05:30,2026-06-03,00:11,1,1,2
62,2026-06-02T19:45:00+05:30,2026-06-03,00:15,0,3,3
62,2026-06-02T19:47:00+05:30,2026-06-03,00:17,2,2,4
62,2026-06-02T19:50:00+05:30,2026-06-03,00:20,0,2,2
62,2026-06-02T19:51:00+05:30,2026-06-03,00:21,3,2,5
62,2026-06-02T19:52:00+05:30,2026-06-03,00:22,0,3,3
63,2026-06-02T19:40:00+05:30,2026-06-03,00:10,1,0,1
63,2026-06-02T19:47:00+05:30,2026-06-03,00:17,1,0,1
67,2026-06-02T19:40:00+05:30,2026-06-03,00:10,0,2,2
76,2026-06-02T19:54:00+05:30,2026-06-03,00:24,1,1,2
79,2026-06-02T19:40:00+05:30,2026-06-03,00:10,3,0,3
79,2026-06-02T19:42:00+05:30,2026-06-03,00:12,0,1,1
79,2026-06-02T19:45:00+05:30,2026-06-03,00:15,0,2,2
79,2026-06-02T19:46:00+05:30,2026-06-03,00:16,2,0,2
79,2026-06-02T19:48:00+05:30,2026-06-03,00:18,1,1,2
79,2026-06-02T19:54:00+05:30,2026-06-03,00:24,0,1,1
141,2026-06-02T19:45:00+05:30,2026-06-03,00:15,1,4,5
142,2026-06-02T19:40:00+05:30,2026-06-03,00:10,0,2,2
142,2026-06-02T19:45:00+05:30,2026-06-03,00:15,1,1,2
161,2026-06-02T19:45:00+05:30,2026-06-03,00:15,1,0,1
164,2026-06-02T19:45:00+05:30,2026-06-03,00:15,1,0,1
164,2026-06-02T19:50:00+05:30,2026-06-03,00:20,0,3,3
187,2026-06-02T19:44:00+05:30,2026-06-03,00:14,2,0,2
187,2026-06-02T19:48:00+05:30,2026-06-03,00:18,1,0,1
187,2026-06-02T19:53:00+05:30,2026-06-03,00:23,1,0,1
211,2026-06-02T19:46:00+05:30,2026-06-03,00:16,1,0,1
211,2026-06-02T19:47:00+05:30,2026-06-03,00:17,1,0,1
212,2026-06-02T19:41:00+05:30,2026-06-03,00:11,1,0,1
212,2026-06-02T19:49:00+05:30,2026-06-03,00:19,0,2,2
3,2026-06-02T20:18:00+05:30,2026-06-03,00:48,4,1,5
3,2026-06-02T20:23:00+05:30,2026-06-03,00:53,0,3,3
4,2026-06-02T20:16:00+05:30,2026-06-03,00:46,0,4,4
5,2026-06-02T20:15:00+05:30,2026-06-03,00:45,1,2,3
6,2026-06-02T20:14:00+05:30,2026-06-03,00:44,1,0,1
6,2026-06-02T20:23:00+05:30,2026-06-03,00:53,1,0,1
21,2026-06-02T20:15:00+05:30,2026-06-03,00:45,2,0,2
29,2026-06-02T20:10:00+05:30,2026-06-03,00:40,0,1,1
29,2026-06-02T20:17:00+05:30,2026-06-03,00:47,0,5,5
31,2026-06-02T20:23:00+05:30,2026-06-03,00:53,1,0,1
36,2026-06-02T20:10:00+05:30,2026-06-03,00:40,0,1,1
41,2026-06-02T20:10:00+05:30,2026-06-03,00:40,2,6,8
41,2026-06-02T20:11:00+05:30,2026-06-03,00:41,3,1,4
41,2026-06-02T20:13:00+05:30,2026-06-03,00:43,1,0,1
41,2026-06-02T20:16:00+05:30,2026-06-03,00:46,0,3,3
41,2026-06-02T20:21:00+05:30,2026-06-03,00:51,0,2,2
41,2026-06-02T20:22:00+05:30,2026-06-03,00:52,1,0,1
42,2026-06-02T20:13:00+05:30,2026-06-03,00:43,1,0,1
42,2026-06-02T20:14:00+05:30,2026-06-03,00:44,0,3,3
45,2026-06-02T20:13:00+05:30,2026-06-03,00:43,0,1,1
45,2026-06-02T20:23:00+05:30,2026-06-03,00:53,1,1,2
47,2026-06-02T20:15:00+05:30,2026-06-03,00:45,1,5,6
50,2026-06-02T20:10:00+05:30,2026-06-03,00:40,1,0,1
54,2026-06-02T20:15:00+05:30,2026-06-03,00:45,3,1,4
59,2026-06-02T20:15:00+05:30,2026-06-03,00:45,9,2,11
61,2026-06-02T20:13:00+05:30,2026-06-03,00:43,2,0,2
61,2026-06-02T20:17:00+05:30,2026-06-03,00:47,0,2,2
61,2026-06-02T20:19:00+05:30,2026-06-03,00:49,2,2,4
66,2026-06-02T20:21:00+05:30,2026-06-03,00:51,0,1,1
69,2026-06-02T20:14:00+05:30,2026-06-03,00:44,1,1,2
84,2026-06-02T20:10:00+05:30,2026-06-03,00:40,3,1,4
87,2026-06-02T20:21:00+05:30,2026-06-03,00:51,0,2,2
107,2026-06-02T20:10:00+05:30,2026-06-03,00:40,1,2,3
107,2026-06-02T20:20:00+05:30,2026-06-03,00:50,1,0,1
108,2026-06-02T20:20:00+05:30,2026-06-03,00:50,1,0,1
134,2026-06-02T20:20:00+05:30,2026-06-03,00:50,2,0,2
